Barcode,Loc,Year,Test,Plot,Entry,Rep,Stock,Pedigree,DTA,DTS,PHT,FHT,EHT,STD,LDG,PlotWt,Moist,TestWt,Yield,YieldMoist,BuA,Population,PlantDate,Seed,Field,SeqNo,Range,Row,FtLong,FtAlley,FtWide,NumRows,HarvDate,AFppb,NOTES,Germination
CS18-YC1I-083,CS,2018,YC1I,083,Y402,1,CS16-YUAV-447-B9,(Tx740/NC356)-18-004-2-1-B2-B9,76,82,60,44,19,14,,,,,,,,28698,3/14/2018,24,,,17,81,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-084,CS,2018,YC1I,084,Y347,1,CS16-YUAV-485-B4,(Tx740/NC356)-18-004-1-B4-B4,77,80,59,42,23,17,,,,,,,,34848,3/14/2018,24,,,17,82,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-085,CS,2018,YC1I,085,Y374,1,CS16-YUAV-479-B8,(Tx740/NC356)-18-085-1-B2-B8,79,79,55,40,23,4,,,,,,,,8200,3/14/2018,24,,,17,83,12.5,4,2.5,1,,,,16.67%
CS18-YC1I-086,CS,2018,YC1I,086,NC356,1,NC356,,76,76,70,49,26,11,,,,,,,,22549,3/14/2018,24,,,17,84,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-087,CS,2018,YC1I,087,Y454,1,CS16-YUAV-458-B5,(Tx740/NC356)-18-160-2-1-B5,76,76,66,50,25,13,,,,,,,,26648,3/14/2018,24,,,17,85,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-088,CS,2018,YC1I,088,Y405,1,WF17-YUAN-068-B,(Tx740/NC356)-18-009-2-1-B,77,80,67,50,26,16,,,,,,,,32798,3/14/2018,24,,,17,86,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-089,CS,2018,YC1I,089,Tx740,1,Tx740,,81,82,65,50,23,14,,,,,,,,28698,3/14/2018,24,,,18,86,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-090,CS,2018,YC1I,090,Y362,1,CS16-YUAV-481-B7,(Tx740/NC356)-18-044-1-B4-B3-B7,79,79,62,48,24,12,,,,,,,,24599,3/14/2018,24,,,18,85,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-091,CS,2018,YC1I,091,Y408,1,CS16-YUAV-478-B9,(Tx740/NC356)-18-016-2-1-B2-B9,79,79,68,50,26,8,,,,,,,,16399,3/14/2018,24,,,18,84,12.5,4,2.5,1,,,,33.33%
CS18-YC1I-092,CS,2018,YC1I,092,Y377,1,CS14-YUAN-377-1,(Tx740/NC356)-18-088-1,77,85,70,52,24,12,,,,,,,,24599,3/14/2018,24,,,18,83,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-093,CS,2018,YC1I,093,Y359,1,CS14-YUAN-359-1,(Tx740/NC356)-18-038-1,79,79,62,46,25,7,,,,,,,,14349,3/14/2018,24,,,18,82,12.5,4,2.5,1,,,,29.17%
CS18-YC1I-094,CS,2018,YC1I,094,Y446,1,CS16-YUAV-471-B4,(Tx740/NC356)-18-135-2-1-B5-B4,85,83,63,45,26,11,,,,,,,,22549,3/14/2018,24,,,18,81,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-095,CS,2018,YC1I,095,Tx740,1,Tx740,,80,82,67,50,28,15,,,,,,,,30748,3/14/2018,24,,,18,80,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-096,CS,2018,YC1I,096,Y406,1,WF17-YUAN-069-B,(Tx740/NC356)-18-013-2-1-B5-B,79,81,71,56,30,20,,,,,,,,40998,3/14/2018,24,,,18,79,12.5,4,2.5,1,,,,83.33%
CS18-YC1I-097,CS,2018,YC1I,097,PHV63,1,PHV63,,76,77,57,44,20,14,,,,,,,,28698,3/14/2018,24,,,19,79,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-098,CS,2018,YC1I,098,Y442,1,WF14-YUAN-442-1,(Tx740/NC356)-18-128-2-1,79,79,67,51,26,10,,,,,,,,20499,3/14/2018,24,,,19,80,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-099,CS,2018,YC1I,099,Y399,1,WF14-YUAN-399-1,(Tx740/NC356)-18-160-1-1,,,,,,,,,,,,,,,3/14/2018,24,,,19,81,12.5,4,2.5,1,,,,
CS18-YC1I-100,CS,2018,YC1I,100,LH195,1,LH195,,76,76,65,45,22,12,,,,,,,,24599,3/14/2018,24,,,19,82,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-101,CS,2018,YC1I,101,Y400,1,WF17-YUAN-065-B,(Tx740/NC356)-18-161-1-1-B4-B,79,79,60,42,25,13,,,,,,,,26648,3/14/2018,24,,,19,83,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-102,CS,2018,YC1I,102,LH82,1,LH82,,70,69,47,35,15,13,,,,,,,,26648,3/14/2018,24,,,19,84,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-103,CS,2018,YC1I,103,Y455,1,CS14-YUAN-400-2,(Tx740/NC356)-18-161-2,80,79,65,50,29,16,,,,,,,,32798,3/14/2018,24,,,19,85,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-104,CS,2018,YC1I,104,Y380,1,CS16-YUAV-521-B10,(Tx740/NC356)-18-104-1-1-B6-B10,79,79,69,49,27,17,,,,,,,,34848,3/14/2018,24,,,19,86,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-105,CS,2018,YC1I,105,Y416,1,CS15-YUAN-458-B5,(Tx740/NC356)-18-042-2-B5,77,85,67,50,21,16,,,,,,,,32798,3/14/2018,24,,,20,86,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-106,CS,2018,YC1I,106,LH195,1,LH195,,77,77,63,49,21,17,,,,,,,,34848,3/14/2018,24,,,20,85,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-107,CS,2018,YC1I,107,Y424,1,CS16-YUAV-510-B5,(Tx740/NC356)-18-070-2-1-B5,75,75,56,41,15,4,,,,,,,,8200,3/14/2018,24,,,20,84,12.5,4,2.5,1,,,,16.67%
CS18-YC1I-108,CS,2018,YC1I,108,LAMA_YC,1,LAMA_YC,,77,79,62,45,22,12,,,,,,,,24599,3/14/2018,24,,,20,83,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-109,CS,2018,YC1I,109,Y378,1,CS16-YUAV-516-B4,(Tx740/NC356)-18-094-1-1-1-B4,79,79,64,50,25,8,,,,,,,,16399,3/14/2018,24,,,20,82,12.5,4,2.5,1,,,,33.33%
CS18-YC1I-110,CS,2018,YC1I,110,LH82,1,LH82,,67,67,53,39,23,12,,,,,,,,24599,3/14/2018,24,,,20,81,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-111,CS,2018,YC1I,111,Y411,1,CS15-YUAN-461-B4,(Tx740/NC356)-18-026-2-1-B4,79,79,58,44,23,13,,,,,,,,26648,3/14/2018,24,,,20,80,12.5,4,2.5,1,,,,54.17%
